symbol Prdm16s-Bulk_1 Ctrl-Bulk_1 L-MEP_1 Ctrl-MEP_1 Prdm16s-Bulk_2 Ctrl-Bulk_2 L-MEP_2 Ctrl-MEP_2 Prdm16s-Bulk_3 Ctrl-Bulk_3 L-MEP_3 Ctrl-MEP_3
0610005C13Rik 0.0 0.2387044396 0.24012669050000002 0.09568809800000001 0.0 0.0 0.5452372496 0.0 0.0 0.22642497690000002 1.4922100338 0.0
0610009B22Rik 118.0234073118 64.17726493810001 91.61482641549999 54.4237792531 164.29697510379998 72.5390644834 128.35337506049999 97.4508647584 59.6540477063 80.6884629835 35.8017788486 105.7838064991
0610009L18Rik 7.6655945974 3.2450692396 19.7315088615 0.6937773565 0.0 4.536078073500001 13.836165940499999 2.8247696982 3.4305428539 3.2833450604000003 8.114344061 1.3540990371000001
0610009O20Rik 5.6735306712 10.0857332051 5.7723199156 20.4267299515 4.0181025776 11.4338598023 3.8114147738999997 16.2028834444 4.558876415199999 8.7153973549 6.6019702599 12.0087297759
0610010B08Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0610010F05Rik 6.383291657899999 10.9634811459 7.9636045713 14.021162713599999 7.9297313699 7.6325556277999995 11.8967512721 6.4653306723 2.3822377627 4.7954782414 6.9822066507 8.6161337584
0610010K14Rik 43.23607346 29.403187456799998 78.4572355078 26.012004136999998 26.436464165900002 40.190960469000004 69.5485201427 57.811789036099995 46.8592218376 36.768277679499995 22.427473577199997 40.2739968428
0610012G03Rik 45.7841131674 38.5080079074 59.8919388048 52.695715265100006 47.8606401578 59.1725371528 55.2285673516 116.03240445590001 37.853872820300005 55.4382546017 48.9416487359 77.9687034415
0610030E20Rik 21.3709118931 23.8119268601 20.077783341700002 15.6154551038 19.1907870901 17.0123634595 17.505151345599998 13.786941179200001 14.587456879300001 16.0904898269 39.0202941422 15.1937275647
0610031O16Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0610037L13Rik 32.8712533214 33.7344157788 39.7998836067 35.2593385785 54.6701479766 35.2306830496 39.4465742633 47.259620049300004 19.0818999351 38.176735854099995 42.0852154449 40.382612368800004
0610038B21Rik 0.0 0.17585448539999998 0.0 0.0704937925 0.0 0.283633752 0.0 0.0 0.0 0.2502122364 0.0 0.2751763966
0610039H22Rik 0.6290326632 1.6509845419 2.091404792 0.5882851831 1.2689798426999999 0.7396818566 0.5028133102000001 0.552749982 1.4544561826 1.2180423071 2.2935063807 1.530935715
0610039K10Rik 0.9657073482999999 0.28162605809999997 0.0944346816 0.11289384429999999 0.9740854734000001 0.0 0.257310702 0.42429809350000003 0.6202552946000001 0.2671386162 0.0 0.1468957771
0610040B10Rik 1.7393706216 0.0 2.8575076169 0.4880092996 0.0 1.4726393325999998 1.9464969812000001 1.5284374503 0.0 2.0208429186 0.0 0.9524855727
0610040F04Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0610040J01Rik 5.2385750487000005 4.7263479042 0.0 0.516715729 5.9445258941 5.3708022718 0.0 0.287705873 5.8670843871 5.0266344865 3.5813040811000003 0.0747047508
0610043K17Rik 0.0 0.21668801070000002 1.0172357212 1.2160749538 0.0 0.0 1.3858554559 0.6529247361 0.0 1.4387878385 0.0 0.9041934239
1010001N08Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1110002L01Rik 0.22797827629999998 0.15956293189999998 0.2942750088 0.8635017098000001 0.5518947186 0.6755628751999999 0.328019407 0.7612592842 0.9839831984 0.2270320143 0.9974737312999999 0.3329112517
1110004E09Rik 25.795928187199998 33.1616499555 28.957668393600002 59.3583796451 27.878275993600003 44.5717149675 31.1401261305 81.4185356179 53.1535854551 48.275829849 18.7148543018 64.98414036369999
1110004F10Rik 119.4520933366 127.3059379892 144.8526297357 153.7687120524 161.5810817061 140.4891783031 178.63791018330002 198.71598728950002 131.9915335788 156.33094766760001 91.9155753826 201.1494201834
1110006O24Rik 2.5909374885 3.1385904051 10.4073659112 5.1723902332 3.6185753327 5.0621977058 4.460722248500001 8.5815394347 0.0 2.811738287 4.3600511925 9.6406091822
1110008F13Rik 63.5243880967 17.4582381494 34.520656081300004 7.8205449961 42.2171627902 19.4444869665 41.088443666799996 19.946765321300003 56.011624948199994 20.3561721173 38.7762789656 19.5691843479
1110008L16Rik 9.6728332903 8.3075775662 7.8581459464 17.819117343800002 10.2928365018 7.3245626064 11.5553947771 9.8386084766 14.6646442421 5.8513560168 3.100480848 11.382790548
1110008P14Rik 49.3907128113 18.7519231917 16.6765610865 11.1120534591 29.609529662600004 27.6147893113 21.7885767756 39.3066653896 40.2219981354 25.3275463852 33.1284254991 22.113515884
1110012L19Rik 45.615282527299996 21.917674528899997 33.2210846335 21.634925053200003 47.3256247858 21.8643518696 33.3369505953 22.6503729633 57.9259764419 28.3611743023 36.4313832849 25.375585362
1110015O18Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1110017D15Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1110019D14Rik 2.8076941159 1.9809643583 5.7923104525 2.9222805399 2.192556888 3.5145830226 8.0360872832 1.3529836838999998 0.8376749612000001 1.2025979837 5.9441171287 3.0584743833999997
1110020A21Rik 0.6273139946999999 1.4269438344999998 2.6500539023 0.4400083849 2.2779228324000003 2.4785405161000003 2.6074854174 2.7561986809 0.5801929034000001 2.7070776333 0.0 1.1450646229
1110025L11Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1110028F11Rik 0.0 0.8415986101999999 2.3904367917 1.5876088121 0.34246036420000003 1.4372524355 4.0256045304 3.9281690036000003 0.47974052770000003 1.1270188128 0.0 2.0657727763
1110028F18Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1110032A03Rik 18.1460530327 11.757259295399999 21.9618251223 9.319622041799999 14.7040521454 13.177784503900002 16.629087021700002 15.8120493375 2.9844248058 14.0508154173 2.4914578243000003 12.265141601
1110032F04Rik 0.0 0.2077784183 0.0 0.1249364382 0.0 0.0837808775 0.0 0.46955875119999996 0.0 0.2956347836 0.0 1.0837694647
1110034G24Rik 8.9636820832 10.825573016300002 9.9468392811 6.1505946104 9.4345541455 9.1426749144 6.775657401 11.215675956400002 4.5807294581999995 9.3792691246 0.0 9.781519567
1110036E04Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1110038B12Rik 48.711921277200005 84.1320182488 58.023699639499995 90.86746547780001 49.55810167520001 108.5861082641 78.546474302 204.4290331387 72.6607381439 101.4104359365 98.7560566399 228.03906990080003
1110038F14Rik 39.6934880047 31.040268873400002 46.8976383302 42.1438936919 37.8439992161 37.4045159077 46.5065099587 61.517571269499996 33.5268368117 38.1298856696 31.2250913111 42.058243939
1110046J04Rik 0.3939887122 0.34469289729999997 0.0 0.0 0.0 0.0 0.0 0.173104885 0.0 0.0 0.0 0.0
1110051M20Rik 7.336598585700001 3.8511866121 8.8055337788 3.593179808 5.1412250942 3.2147424381 5.5558080189 4.2300650324 3.6308405544 4.2939634741 5.0683945244999995 3.0072871093
1110058D11Rik 0.229482181 0.0 0.0 0.0 0.0 0.1619093719 0.0 0.0 0.0 0.0 0.0 0.20944210489999998
1110059E24Rik 48.020271279300005 43.137302300200005 26.791277896500002 25.8631259082 70.7091919344 36.1491018243 44.467992259 25.0543864409 28.0060902195 46.255388131800004 37.5184237069 28.2721908091
1110059G10Rik 16.7592318389 10.3990903753 11.4897870768 8.1775316143 15.4346611035 11.6315577157 16.6362737695 14.5667683455 11.6884443592 11.3380909274 6.475863003 14.090325104200002
