Symbol	Species
ITGB2	9606
ITGAX	9606
MS4A8B	9606
CASP7	9606
MIR1275	9606
MIR200C	9606
MIRLET7C	9606
PURA	9606
ACE2	9606
EIF4E	9606
Edil3	9606
MAPK1	9606
NLRP4	9606
NRIP1	9606
ZC3H12A	9606
TLR1	9606
P2RY14	9606
DUSP10	9606
E2F1	9606
RB1	9606
ANGPT1	9606
DOK3	9606
DICER1	9606
NLRP6	9606
TUFM	9606
NLRX1	9606
GNAI2	9606
SPINK5	9606
LST1	9606
SCARB1	9606
TSC22D3	9606
NOS2	9606
CLEC7A	9606
HAMP	9606
RHBDF2	9606
PLSCR1	9606
DUSP1	9606
LY96	9606
LILRA2	9606
CLEC9A	9606
PACSIN1	9606
IRAK3	9606
EPS8	9606
ATF4	9606
NFAT5	9606
EHMT2	9606
TSC1	9606
IRF5	9606
KIAA0226	9606
ZBP1	9606
RIPK3	9606
TMED7;TICAM2	9606
IL1RAP	9606
IL1R1	9606
SDC4	9606
CD209	9606
NTN1	9606
NAMPT	9606
AGER	9606
JAK3	9606
SHARPIN	9606
CAMKK2	9606
WNT3A	9606
WAS	9606
MIR16-2	9606
MIR16-1	9606
PYCARD	9606
FREM1	9606
USP4	9606
DCD	9606
PRKCD	9606
FSTL1	9606
RORA	9606
DEFA1	9606
TRIB2	9606
APOA1	9606
JAK2	9606
HSP90B1	9606
TRPM2	9606
ITCH	9606
IL17C	9606
IL17RE	9606
IL9	9606
LRRK2	9606
PIK3C3	9606
IL13	9606
HP	9606
UNC5CL	9606
PLCG2	9606
CNOT4	9606
UNC93B1	9606
SERPINB9	9606
IGF1	9606
HSF1	9606
PROS1	9606
GAS6	9606
CD300LF	9606
CD300A	9606
RICTOR	9606
CCL17	9606
IFIT2	9606
YY1	9606
MIR10A	9606
MRGPRX2	9606
IL33	9606
RGS2	9606
NOX1	9606
PPP3R1	9606
PCBP2	9606
PCBP1	9606
FANCC	9606
APOBEC3B	9606
DEFB1	9606
PGLYRP3	9606
CDKN2A	9606
DCN	9606
MIR125B2	9606
MIR125B1	9606
DLK1	9606
TNIP1	9606
RAC2	9606
PKLR	9606
SENP2	9606
STAT6	9606
FADD	9606
PLA2G4A	9606
PLAUR	9606
GZMM	9606
SELK	9606
AIRE	9606
APOH	9606
PPARGC1B	9606
MAPKAPK2	9606
ZFPM2	9606
ZFPM1	9606
GATA6	9606
GATA4	9606
TYK2	9606
NR3C1	9606
STUB1	9606
SERPINE1	9606
TANK	9606
NAIP	9606
TREM2	9606
APOBEC3G	9606
DDX41	9606
TAX1BP1	9606
NEU1	9606
AQP3	9606
ELF1	9606
CD8A	9606
MUC1	9606
IL1RL2	9606
RPL19	9606
BCL2	9606
IL4R	9606
SFTPD	9606
PLTP	9606
PLUNC	9606
LTBR	9606
RAG1	9606
TNFSF9	9606
TNFRSF9	9606
SNCA	9606
F11	9606
ADAR	9606
TNFRSF1A	9606
TREML2	9606
CBL	9606
HSPD1	9606
PML	9606
PIN1	9606
HRG	9606
NOTCH1	9606
GBP2	9606
HSPA14	9606
EDN1	9606
CD5L	9606
SOCS1	9606
NRAS	9606
MIF	9606
DUOX2	9606
RARRES2	9606
KCNJ8	9606
NFATC4	9606
NFATC3	9606
CLEC1B	9606
DHX36	9606
DDX21	9606
DDX1	9606
CD97	9606
ADRB2	9606
JAM3	9606
AHR	9606
UBQLN1	9606
PMAIP1	9606
IP6K1	9606
KHSRP	9606
IFNAR1	9606
TPST1	9606
PLEC	9606
VENTX	9606
CCR3	9606
VLDLR	9606
MIR23B	9606
CFLAR	9606
CDK6	9606
MIR107	9606
GPR77	9606
PIK3AP1	9606
AVP	9606
CASP8	9606
SREBF1	9606
ZC3HAV1	9606
ATG5	9606
ATG12	9606
MIR373	9606
MIR372	9606
AKNA	9606
IRAK2	9606
CCL1	9606
PGLYRP4	9606
TNFSF11	9606
IL4	9606
ARHGAP15	9606
BID	9606
THBS1	9606
TECPR1	9606
HMGN2	9606
CXCR3	9606
MAP3K5	9606
PTGES	9606
GRN	9606
CD46	9606
FCN1	9606
NR1H3	9606
NR4A3	9606
SRXN1	9606
GP2	9606
HRH4	9606
Plg	9606
CCL2	9606
IMPDH2	9606
C1QC	9606
C1QB	9606
C1QA	9606
CCBP2	9606
XIAP	9606
BIRC2	9606
PGLYRP2	9606
CRP	9606
LGMN	9606
SREBF2	9606
COPS5	9606
RELB	9606
XBP1	9606
NFIL3	9606
MBL2	9606
CCR6	9606
TP63	9606
MTOR	9606
CLTC	9606
FGF7	9606
NFKB1	9606
CEBPE	9606
CEBPD	9606
CORO2A	9606
HMOX1	9606
TBKBP1	9606
SIAH2	9606
CD37	9606
SLC15A4	9606
SYP	9606
MAP2K6	9606
NLRP12	9606
MMP7	9606
MMP12	9606
NLRP2	9606
NLRP9	9606
NLRP11	9606
NLRP13	9606
NLRP8	9606
NLRP5	9606
PSMA7	9606
TNFRSF18	9606
CDK9	9606
PTAFR	9606
C8A	9606
SELE	9606
C4A	9606
DEFA3	9606
PTPN2	9606
IFNGR2	9606
RCAN1	9606
SMAD7	9606
MALT1	9606
ABCG1	9606
SOCS6	9606
CSF2RB	9606
IL2RB	9606
LGALS2	9606
APOBEC3A	9606
MAP3K7IP1	9606
MLST8	9606
TCEB2	9606
MEFV	9606
PTK2B	9606
AMACR;C1QTNF3	9606
SCARF1	9606
PTPN6	9606
CLEC4C	9606
SIGIRR	9606
HRAS	9606
C19orf29	9606
C9	9606
PIAS4	9606
MAP2K2	9606
SMAD6	9606
STAP2	9606
TOLLIP	9606
ARRB2	9606
REST	9606
HSP90AA1	9606
RCOR1	9606
KAT2B	9606
NLRP1	9606
THRB	9606
MTA1	9606
CCR4	9606
IL8	9606
CD36	9606
CD180	9606
BCL2A1	9606
TCEB1	9606
IRAK4	9606
ITGAM	9606
VDR	9606
SIAH1	9606
LPCAT2	9606
ACHE	9606
MoleculeID 32847	9606
TRAIP	9606
TRADD	9606
TNIP3	9606
MAP3K12	9606
PTK2	9606
CAV1	9606
ELMOD2	9606
RNF41	9606
SIRPA	9606
BCAR1	9606
ZMYND11	9606
CD22	9606
CD274	9606
PDCD1LG2	9606
CCR7	9606
SMARCE1	9606
NKIRAS2	9606
DHX58	9606
SOCS2	9606
BECN1	9606
NUMBL	9606
CCDC88A	9606
RPS19	9606
CAMK2A	9606
IFNA2	9606
IFNA1	9606
MAP3K14	9606
ANXA4	9606
CYBB	9606
BCL3	9606
RIPK1	9606
TRAFD1	9606
ITGA3	9606
IRF2BP1	9606
PIK3CB	9606
LY86	9606
RANBP9	9606
NUP153	9606
OTUD5	9606
MAP3K8	9606
LILRA4	9606
BIRC3	9606
PROCR	9606
CASP12	9606
CARD18	9606
SOCS3	9606
CYTIP	9606
MAFB	9606
SIRT1	9606
NFE2L2	9606
FLI1	9606
PTCH1	9606
STAT4	9606
CTLA4	9606
CTNNAL1	9606
IL8RB	9606
AAMP	9606
NFATC2	9606
COPS8	9606
LRRFIP1	9606
NFKB2	9606
VEGFA	9606
NUP214	9606
MFN2	9606
TNFRSF1B	9606
IL17F	9606
GRK5	9606
DMBT1	9606
GPSM1	9606
CARD9	9606
FBXW5	9606
IRAK1BP1	9606
KDM1	9606
RUNX3	9606
HDAC1	9606
GJA1	9606
MAP3K7IP2	9606
MKNK1	9606
MAP3K4	9606
JUN	9606
GNAI3	9606
CD53	9606
SNX27	9606
RUSC1	9606
FCGR2A	9606
CFH	9606
PTPRC	9606
hsa-mir-146b	9606
MFN1	9606
SPP1	9606
C4BPB	9606
C4BPA	9606
APCS	9606
KITLG	9606
PDCD1	9606
RFTN1	9606
HSPBP1	9606
AKAP10	9606
PTGES2	9606
STIM1	9606
ORAI1	9606
ITPR3	9606
ITPR1	9606
LRRFIP2	9606
TRIB3	9606
CHGA	9606
SIGLEC15	9606
SIGLEC11	9606
SIGLEC9	9606
SIGLEC8	9606
SIGLEC7	9606
SIGLEC6	9606
SIGLEC5	9606
SIGLEC1	9606
SIGLEC10	9606
RGMB	9606
OAS2	9606
CTSB	9606
LAIR1	9606
IL19	9606
C8B	9606
DEFA4	9606
PIK3R1	9606
NLRP10	9606
CARD16	9606
PTPN11	9606
DUSP16	9606
BCL10	9606
NFKBIE	9606
OTUD7B	9606
CFB	9606
ISG20	9606
IL2RG	9606
MST1R	9606
ADAM10	9606
MAP3K3	9606
NKIRAS1	9606
KLK1	9606
C1S	9606
PPP4C	9606
MAP3K1	9606
PTGS2	9606
KPNA1	9606
C8G	9606
LAT	9606
C1R	9606
LY9	9606
CFP	9606
ICAM1	9606
HLA-E	9606
EGR1	9606
IL6ST	9606
IGF1R	9606
ELP2	9606
F2RL2	9606
F2RL3	9606
CD27	9606
HOXA9	9606
GSTP1	9606
EPOR	9606
WDR34	9606
ACAP1	9606
ERAP1	9606
CXCL11	9606
CXCL9	9606
AP3B1	9606
S100A10	9606
ANXA2	9606
CEACAM1	9606
IL13RA1	9606
SEMA3A	9606
PLXNA4	9606
CASP6	9606
PELI2	9606
hsa-mir-126	9606
FFAR2	9606
NR1H4	9606
hsa-mir-98	9606
CISH	9606
hsa-let-7e	9606
HMGB3	9606
HMGB2	9606
SIVA1	9606
SNAP23	9606
IRF2	9606
PLK1	9606
TRAF1	9606
PKN1	9606
FXR1	9606
ERBB2IP	9606
RBCK1	9606
RNF31	9606
PIAS1	9606
WDR62	9606
DAB2IP	9606
YJEFN3	9606
RP5-1000E10.4	9606
AZI2	9606
MAP3K7IP3	9606
GLRX	9606
APOBEC3G;APOBEC3F	9606
hsa-mir-152	9606
hsa-mir-148b	9606
hsa-mir-148a	9606
TRAT1	9606
F2R	9606
FCGR1A	9606
UBD	9606
CD300E	9606
PRKCA	9606
CASP10	9606
IRF6	9606
IRF9	9606
VASP	9606
IFITM1	9606
IFITM2	9606
RAD21	9606
RASGEF1B	9606
NOXA1	9606
TRPV2	9606
CYBA	9606
CALCA	9606
PPP3CA	9606
KIR3DL2	9606
OPTN	9606
LGALS4	9606
LGALS8	9606
RAC1	9606
IL31	9606
RSAD2	9606
ATF3	9606
HERC5	9606
FCN2	9606
DUOX1	9606
NOX4	9606
INPP5D	9606
CNPY3	9606
BIRC5	9606
DHCR24	9606
GPR33	9606
SFTPA2	9606
IFNGR1	9606
MIF;SLC2A11	9606
ILF3	9606
ATG9A	9606
MX2	9606
TPSB2	9606
GAB1	9606
SLAMF1	9606
GOPC	9606
YWHAE	9606
LTB4R	9606
BTN3A3	9606
BTN3A2	9606
BTN3A1	9606
IFI6	9606
PTMA	9606
RXRA	9606
AIMP1	9606
GNB2	9606
SPI1	9606
NLRP7	9606
GLI1	9606
TOMM70A	9606
USP17	9606
ETS1	9606
RAB11A	9606
FZD1	9606
CTSG	9606
ELANE	9606
TNFRSF13B	9606
DHX9	9606
MAP2K1	9606
DDIT3	9606
ATG16L1	9606
OTUB2	9606
OTUB1	9606
IL21	9606
PPIA	9606
CD200	9606
ANXA1	9606
XDH	9606
CR2	9606
IFNAR2;IL10RB	9606
FOXA2	9606
ING4	9606
CALM1	9606
NXN	9606
SPON2	9606
CTCF	9606
RNF5	9606
PIAS2	9606
TCF4	9606
TYRO3	9606
TNFRSF12A	9606
TLR10	9606
USP7	9606
CARD6	9606
C7	9606
C6	9606
BDKRB2	9606
CTSD	9606
C1QBP	9606
CSK	9606
SCAMP5	9606
PSTPIP1	9606
CTSH	9606
TRIM22	9606
SMARCA4	9606
NLRP14	9606
CCNT1	9606
MAP2K4	9606
MAP2K3	9606
SUGT1	9606
SARM1	9606
NCKAP1L	9606
CD63	9606
SMARCA2	9606
BMX	9606
SERPING1	9606
RETNLB	9606
NFKBIB	9606
PRKCE	9606
STAT5B	9606
STAT5A	9606
SOCS5	9606
REL	9606
RPS6KA4	9606
SH2D1A	9606
SLAMF8	9606
SLAMF9	9606
SLAMF6	9606
SLAMF7	9606
