symbol	X468VTF.V19	X468VTF.V1	X468VTF.V5.2	X468VTF.V5	X474IDH.V3.2	X474IDH.V3	X474IDH.V9	wt1.lsk	wt2.lsk	wt3.lsk	wt4.lsk
Cfi	6.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Cfl1	13893.0	8837.0	26814.0	27174.0	24009.0	24016.0	26845.0	16228.0	19632.0	16806.0	10578.0
Cfl2	862.0	595.0	1004.0	968.0	868.0	658.0	722.0	1074.0	951.0	1175.0	1540.0
Cflar	0.0	0.2	1.2	0.8	0.2	1.0	0.6	0.6	1.2	1.2	1.8
Cfp	272.0	428.0	1910.0	1887.0	3943.0	4825.0	1444.0	664.0	984.0	640.0	597.0
Cftr	14.0	20.0	16.0	17.0	8.0	7.0	9.0	3.0	2.0	2.0	5.0
Cga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cgas	0.0	0.0	0.5	0.0	0.5	0.5	0.0	0.5	0.5	0.0	0.0
Cggbp1	3781.0	4051.0	7353.0	3407.0	6472.0	2484.0	2890.0	3009.0	2856.0	2750.0	2265.0
Cgn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cgnl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cgref1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cgrrf1	380.0	300.0	411.0	442.0	477.0	560.0	395.0	409.0	410.0	347.0	469.0
Ch25h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chac1	7.0	11.0	18.0	18.0	59.0	58.0	20.0	21.0	17.0	4.0	5.0
Chac2	0.0	1.0	0.5	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.5
Chad	18.0	2.0	35.0	30.0	9.0	1.0	18.0	58.0	62.0	17.0	27.0
Chadl	2.0	2.0	15.0	17.0	16.0	4.0	5.0	8.0	11.0	3.0	4.0
Chaf1a	862.0	276.0	3226.0	1005.0	4121.0	1100.0	1224.0	807.0	1185.0	927.0	636.0
Chaf1b	790.0	494.0	3680.0	2465.0	2113.0	1728.0	1745.0	1525.0	1662.0	1657.0	1120.0
Champ1	734.0	230.0	2344.0	1301.0	2316.0	1497.0	916.0	791.0	837.0	760.0	568.0
Chat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chchd1	2809.0	3213.0	2045.0	3375.0	1598.0	2133.0	2753.0	2793.0	2873.0	1968.0	2654.0
Chchd10	227.0	329.0	448.0	59.0	273.0	21.0	84.0	144.0	117.0	159.0	106.0
Chchd2	4593.0	6266.0	1773.0	3207.0	1449.0	1707.0	2868.0	3136.0	2784.0	2346.0	2475.0
Chchd3	1632.0	1450.0	3601.0	3285.0	2685.0	2250.0	2464.0	2038.0	2411.0	1944.0	1707.0
Chchd4	1149.0	1605.0	2170.0	2264.0	1477.0	1432.0	1812.0	1180.0	1447.0	998.0	922.0
Chchd5	918.0	883.0	780.0	1240.0	525.0	837.0	852.0	937.0	899.0	921.0	881.0
Chchd6	12.5	9.0	43.0	36.5	21.0	17.5	23.0	31.0	21.5	22.0	31.0
Chchd7	0.4444	0.2222	1.2222	1.4444	1.2222	1.7778	0.8889	4.5556	2.3333	9.5556	12.7778
Chd1	1908.0	553.0	2918.0	1733.0	3199.0	1441.0	1579.0	1682.0	1814.0	1852.0	1480.0
Chd1l	674.0	476.0	1900.0	862.0	1640.0	661.0	753.0	673.0	784.0	799.0	792.0
Chd2	1609.0	345.0	2659.0	1364.0	2588.0	1392.0	1434.0	1860.0	1831.0	2335.0	1858.0
Chd3	1702.0	366.0	4787.0	930.0	3128.0	406.0	709.0	1631.0	1586.0	1883.0	2006.0
Chd4	6578.0	989.0	12403.0	6704.0	15824.0	6031.0	7385.0	6907.0	8067.0	8098.0	5187.0
Chd5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chd6	5.5	2.0	8.0	8.0	6.5	6.5	8.5	7.0	11.0	17.0	10.5
Chd7	173.0	49.0	235.0	207.0	1421.0	805.0	389.0	385.0	504.0	265.0	221.0
Chd8	1632.0	712.0	3721.0	1897.0	4485.0	1880.0	1894.0	2162.0	2421.0	2486.0	2579.0
Chd9	1411.0	414.0	2723.0	1646.0	2903.0	1457.0	1372.0	2291.0	2005.0	2293.0	2182.0
Chdh	0.6667	0.0	0.3333	0.0	9.6667	1.3333	0.3333	0.6667	0.3333	0.0	1.3333
Chek1	1178.0	1093.0	2070.0	1583.0	1339.0	1047.0	1409.0	1048.0	1084.0	979.0	804.0
Chek2	787.0	767.0	1532.0	1315.0	1441.0	1280.0	1081.0	905.0	883.0	752.0	742.0
Cherp	1445.0	370.0	4789.0	2296.0	5272.0	2981.0	2154.0	1540.0	1698.0	1613.0	1419.0
Chfr	3.4	1.2	0.6	1.4	1.4	2.6	2.0	3.2	4.2	5.2	4.8
Chga	39.0	0.0	88.0	28.0	2.0	0.0	47.0	17.0	20.0	19.0	12.0
Chgb	1.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0
Chia1	1.0	0.0	0.0	5.0	2.0	1.0	0.0	0.0	9.0	17.0	4.0
Chic1	101.0	11.0	94.0	53.0	3.0	2.0	34.0	152.0	81.0	202.0	187.0
Chic2	584.0	716.0	773.0	254.0	677.0	155.0	198.0	318.0	268.0	378.0	343.0
Chid1	12.5	11.5	109.5	73.5	107.5	84.0	35.0	21.0	39.5	9.5	22.5
Chil1	40.0	28.0	28.0	45.0	1289.0	1409.0	44.0	61.0	120.0	51.0	104.0
Chil3	582.0	1506.0	390.0	394.0	20823.0	17355.0	558.0	899.0	1704.0	616.0	435.0
Chil4	1.0	0.0	0.0	0.0	16.0	6.0	0.0	1.0	0.0	2.0	0.0
Chil6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
Chit1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chka	0.0	0.0	0.6667	1.3333	3.6667	1.3333	0.6667	1.6667	2.3333	1.0	2.3333
Chkb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chl1	20.0	9.0	15.0	27.0	1.0	0.0	23.0	41.0	19.0	64.0	23.0
Chm	773.0	872.0	875.0	814.0	578.0	453.0	479.0	784.0	569.0	689.0	830.0
Chml	268.0	137.0	898.0	292.0	940.0	235.0	342.0	212.0	211.0	190.0	197.0
Chmp1a	765.0	777.0	3088.0	2508.0	2621.0	2301.0	1587.0	1048.0	1275.0	891.0	1036.0
Chmp1b	749.0	656.0	1758.0	1212.0	1572.0	909.0	887.0	763.0	824.0	732.0	691.0
Chmp2a	1696.0	1680.0	2506.0	2916.0	2586.0	2789.0	2674.0	2587.0	2828.0	2026.0	2413.0
Chmp2b	1487.0	1608.0	2519.0	968.0	2011.0	685.0	881.0	944.0	929.0	1090.0	1001.0
Chmp3	1386.0	1546.0	2783.0	1933.0	2708.0	2041.0	1726.0	1268.0	1552.0	1467.0	1138.0
Chmp4b	1412.0	1234.0	6689.0	432.0	6316.0	359.0	556.0	595.0	582.0	791.0	497.0
Chmp4c	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0
Chmp5	2282.0	2203.0	1876.0	2797.0	1754.0	2403.0	2065.0	1953.0	1831.0	1875.0	1557.0
Chmp6	645.0	381.0	1980.0	1361.0	1365.0	883.0	1022.0	853.0	983.0	599.0	590.0
Chmp7	548.0	226.0	2050.0	587.0	1793.0	500.0	572.0	535.0	539.0	528.0	458.0
Chn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chn1os3	1.0	0.0	0.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	6.0
Chn2	2.5	2.0	101.5	12.5	117.0	12.0	9.0	5.0	4.5	4.5	3.0
Chodl	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chordc1	1468.0	2108.0	2848.0	3287.0	2921.0	3348.0	2612.0	1491.0	1952.0	1314.0	1203.0
Chp1	1148.0	412.0	2202.0	2183.0	2404.0	2312.0	1617.0	1267.0	1389.0	1063.0	715.0
Chp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	44.0
Chpf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chpf2	359.0	156.0	1899.0	609.0	2829.0	842.0	547.0	551.0	475.0	424.0	520.0
Chpt1	72.6667	117.3333	44.3333	77.3333	75.6667	66.6667	46.0	65.6667	84.0	57.3333	104.3333
Chrac1	1585.0	1578.0	1857.0	2665.0	1409.0	1732.0	1914.0	1952.0	2029.0	1850.0	2207.0
Chrd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chrdl1	0.0	0.5	0.5	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.5
Chrdl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chrm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chrm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chrm3	0.0	0.0	2.0	3.0	2.0	0.0	0.0	11.0	9.0	2.0	7.0
Chrm4	2.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0
Chrm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chrna1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	2.0	4.0
Chrna10	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
